snomed_id_1	snomed_label_1	snomed_id_2	snomed_label_2	rater_A	rater_B	rater_C	rater_D	rater_E	mean_rating	CUI_1	CUI_2
13645005	Chronic obstructive lung disease	79955004	Chronic cor pulmonale			3.0	1.0	2.0	2.0	C0024117	C0238074
102549009	Cramp in lower leg associated with rest	400047006	Peripheral vascular disease		1.0		2.0	2.0	1.6666666666666667	C0262578	C0085096
72866009	Varicose veins of lower extremity	274023003	Varicose vein operation	3.0		3.0	2.0		2.6666666666666665	C0155778	C0521235
109894007	Retained placenta	47821001	Postpartum haemorrhage		3.0		2.0	1.0	2.0	C0242669	C0032797
161656000	H/O: regular medication	232346004	Allergy to cat dander	1.0	0.0	0.0			0.3333333333333333	C0455633	C0339805
9182005	Argumentative behaviour	225581002	Sight deteriorating			0.0	0.0	0.0	0.0	C0680226	C0558171
57891003	Term infant	169839008	Baby female	2.0		0.0	2.0		1.3333333333333333	C0456128	C0419385
109355002	Carcinoma in situ	28899001	Squamous cell carcinoma	2.0	2.0	3.0			2.333333333333333	C0007099	C0007137
239873007	Osteoarthritis of knee	239881008	Otto's pelvis	1.0	0.0			0.0	0.3333333333333333	C0409959	C0343174
209557005	Neck sprain	247451000000105	History of road traffic accident	1.0	2.0			3.0	2.0	C0027535	
79015004	Worried	401228008	No thoughts of deliberate self harm	2.0		2.0	1.0		1.6666666666666667	C0233481	C1303194
11816003	Diet education	110483000	Tobacco user		1.0		0.0	0.0	0.3333333333333333	C0204932	C3853727
21711003	Hydrosalpinx	30238006	Secondary female infertility	2.0		3.0	2.0		2.333333333333333	C0221376	C0269230
366121000000108	General practice physical activity questionnaire physical activity index: inactive	417322008	Cardiovascular disease annual review		1.0		1.0	1.0	1.0		C1562068
160593006	Alcohol intake within recommended sensible limits	266919005	Never smoked tobacco			1.0	1.0	1.0	1.0	C0560220	C0425293
56018004	Wheezing	161922009	No cough			2.0	2.0	0.0	1.3333333333333333	C0043144	C0425502
240475000	Herpes simplex infection of skin	33839006	Genital herpes simplex			2.0	2.0	3.0	2.333333333333333	C0349719	C0019342
268464009	Depot contraception	709532005	Injection of medroxyprogesterone acetate		1.0		3.0	1.0	1.6666666666666667	C0419530	C4038955
95566004	Urolithiasis	43064006	Hydronephrosis		1.0		2.0	2.0	1.6666666666666667	C0451641	C0020295
268918008	O/E - oedema	163542001	O/E - fetal heart heard	1.0		0.0	0.0		0.3333333333333333	C0475103	C0437185
169690007	Rubella screening	313334002	Blood sample taken	2.0	1.0			0.0	1.0		C1277698
1012671000000103	Blood potassium level	271234008	Serum alkaline phosphatase measurement			2.0	1.0	0.0	1.0		C0036776
243878006	Breast neoplasm screening status	116141005	Abdominal hysterectomy	0.0	0.0	0.0			0.0	C0421365	C0404077
